id,subscription_id,event_type,timestamp,data
1,sub_001,STOPPING_RULE_FIRED,2026-09-01T08:33:39+00:00,"{""rule"": ""rule_at_risk_cap"", ""disposition"": ""STOPPED"", ""reason"": ""At-risk tier cap: attempt_count=2 >= 2. Preventing over-contact.""}"
2,sub_002,STOPPING_RULE_FIRED,2026-09-01T08:33:39+00:00,"{""disposition"": ""clear""}"
3,sub_002,DECISION_MADE,2026-09-01T08:33:40+00:00,"{""action"": ""PAYDAY_RETRY"", ""timing_days"": 2, ""channel"": ""upi"", ""rationale"": ""LLM unavailable. Defaulting to payday retry.""}"
4,sub_002,POLICY_VALIDATED,2026-09-01T08:33:40+00:00,"{""policy_approved"": true, ""policy_note"": ""approved"", ""final_action"": ""PAYDAY_RETRY""}"
5,sub_002,ACTION_EXECUTED,2026-09-01T08:33:40+00:00,"{""action_taken"": ""PAYDAY_RETRY"", ""simulated"": true, ""outcome_probability"": 0.61}"
6,sub_002,OUTCOME_RECORDED,2026-09-01T08:33:40+00:00,"{""outcome"": ""FAILURE"", ""probability"": 0.61}"
7,sub_003,STOPPING_RULE_FIRED,2026-09-01T08:33:40+00:00,"{""rule"": ""rule_mandate_revoked"", ""disposition"": ""ESCALATED"", ""reason"": ""Mandate revoked with prior attempt -- customer intent signal. Escalating to merchant.""}"
8,sub_004,STOPPING_RULE_FIRED,2026-09-01T08:33:40+00:00,"{""disposition"": ""clear""}"
9,sub_004,DECISION_MADE,2026-09-01T08:33:41+00:00,"{""action"": ""PAYMENT_LINK"", ""timing_days"": 1, ""channel"": ""email"", ""rationale"": ""LLM unavailable. Sending payment link for expired card.""}"
10,sub_004,POLICY_VALIDATED,2026-09-01T08:33:41+00:00,"{""policy_approved"": true, ""policy_note"": ""approved"", ""final_action"": ""PAYMENT_LINK""}"
11,sub_004,ACTION_EXECUTED,2026-09-01T08:33:41+00:00,"{""action_taken"": ""PAYMENT_LINK"", ""simulated"": true, ""outcome_probability"": 0.55}"
12,sub_004,OUTCOME_RECORDED,2026-09-01T08:33:41+00:00,"{""outcome"": ""SUCCESS"", ""probability"": 0.55}"
13,sub_005,STOPPING_RULE_FIRED,2026-09-01T08:33:41+00:00,"{""rule"": ""rule_high_value_first_time"", ""disposition"": ""ESCALATED"", ""reason"": ""High-value amount (Rs.4999) with no established relationship (tier=at_risk, tenure=2mo). Escalating to merchant for review.""}"
14,sub_006,STOPPING_RULE_FIRED,2026-09-01T08:33:41+00:00,"{""disposition"": ""clear""}"
15,sub_006,DECISION_MADE,2026-09-01T08:33:41+00:00,"{""action"": ""PAYMENT_LINK"", ""timing_days"": 1, ""channel"": ""email"", ""rationale"": ""LLM unavailable. Sending payment link for expired card.""}"
16,sub_006,POLICY_VALIDATED,2026-09-01T08:33:41+00:00,"{""policy_approved"": true, ""policy_note"": ""approved"", ""final_action"": ""PAYMENT_LINK""}"
17,sub_006,ACTION_EXECUTED,2026-09-01T08:33:41+00:00,"{""action_taken"": ""PAYMENT_LINK"", ""simulated"": true, ""outcome_probability"": 0.55}"
18,sub_006,OUTCOME_RECORDED,2026-09-01T08:33:41+00:00,"{""outcome"": ""SUCCESS"", ""probability"": 0.55}"
19,sub_007,STOPPING_RULE_FIRED,2026-09-01T08:33:41+00:00,"{""disposition"": ""clear""}"
20,sub_007,DECISION_MADE,2026-09-01T08:33:41+00:00,"{""action"": ""PAYDAY_RETRY"", ""timing_days"": 1, ""channel"": ""card"", ""rationale"": ""LLM unavailable. Defaulting to payday retry.""}"
21,sub_007,POLICY_VALIDATED,2026-09-01T08:33:41+00:00,"{""policy_approved"": true, ""policy_note"": ""approved"", ""final_action"": ""PAYDAY_RETRY""}"
22,sub_007,ACTION_EXECUTED,2026-09-01T08:33:41+00:00,"{""action_taken"": ""PAYDAY_RETRY"", ""simulated"": true, ""outcome_probability"": 0.427}"
23,sub_007,OUTCOME_RECORDED,2026-09-01T08:33:41+00:00,"{""outcome"": ""FAILURE"", ""probability"": 0.427}"
24,sub_008,STOPPING_RULE_FIRED,2026-09-01T08:33:41+00:00,"{""disposition"": ""clear""}"
25,sub_008,DECISION_MADE,2026-09-01T08:33:41+00:00,"{""action"": ""PAYMENT_LINK"", ""timing_days"": 1, ""channel"": ""email"", ""rationale"": ""LLM unavailable. Sending payment link for expired card.""}"
26,sub_008,POLICY_VALIDATED,2026-09-01T08:33:41+00:00,"{""policy_approved"": true, ""policy_note"": ""approved"", ""final_action"": ""PAYMENT_LINK""}"
27,sub_008,ACTION_EXECUTED,2026-09-01T08:33:41+00:00,"{""action_taken"": ""PAYMENT_LINK"", ""simulated"": true, ""outcome_probability"": 0.55}"
28,sub_008,OUTCOME_RECORDED,2026-09-01T08:33:41+00:00,"{""outcome"": ""SUCCESS"", ""probability"": 0.55}"
29,sub_009,STOPPING_RULE_FIRED,2026-09-01T08:33:41+00:00,"{""disposition"": ""clear""}"
30,sub_009,DECISION_MADE,2026-09-01T08:33:41+00:00,"{""action"": ""PAYDAY_RETRY"", ""timing_days"": 3, ""channel"": ""netbanking"", ""rationale"": ""LLM unavailable. Defaulting to payday retry.""}"
31,sub_009,POLICY_VALIDATED,2026-09-01T08:33:41+00:00,"{""policy_approved"": false, ""policy_note"": ""Channel 'netbanking' not in allowed channels ['upi', 'card', 'sms', 'whatsapp', 'email']. Substituted 'upi'."", ""final_action"": ""PAYDAY_RETRY""}"
